0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:14:25 +0900] "GET /board_ex09/board/list?bno=734&title=%EC%A0%9C%EB%AA%A9+%3A+%EC%8A%A4%ED%94%84%EB%A7%81+%EC%97%B0%EC%8A%B5%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&writer=%EC%A3%BC%ED%8E%84%EB%8B%A8322&contents=%EB%82%B4%EC%9A%A9+%3A+css+%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&page=10&type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 500 5536
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:15:30 +0900] "GET /board_ex09/board/list?bno=734&title=%EC%A0%9C%EB%AA%A9+%3A+%EC%8A%A4%ED%94%84%EB%A7%81+%EC%97%B0%EC%8A%B5%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&writer=%EC%A3%BC%ED%8E%84%EB%8B%A8322&contents=%EB%82%B4%EC%9A%A9+%3A+css+%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&page=10&type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 200 8147
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:15:30 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:08 +0900] "GET /board_ex09/board/get?bno=734&page=10&type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:08 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:10 +0900] "GET /board_ex09/board/list?bno=734&title=%EC%A0%9C%EB%AA%A9+%3A+%EC%8A%A4%ED%94%84%EB%A7%81+%EC%97%B0%EC%8A%B5%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&writer=%EC%A3%BC%ED%8E%84%EB%8B%A8322&contents=%EB%82%B4%EC%9A%A9+%3A+css+%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0322&page=10&type=W&keyword=%EC%A3%BC%ED%8E%84 HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:10 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:12 +0900] "GET /board_ex09/board/list?type=W&keyword= HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:12 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:13 +0900] "GET /board_ex09/board/list?type=W&keyword= HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:13 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:15 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:15 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:18 +0900] "GET /board_ex09/board/list?type=T&keyword=jsp HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:18 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:19 +0900] "GET /board_ex09/board/get?bno=412&page=1&type=T&keyword=jsp HTTP/1.1" 200 3839
